# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06408 s. Light curve stops at 1.15408 s. Time resolution is 0.00144 s. There are 802 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Merge_n1_n3_n0 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.216000 3.0
DP 0.217440 0.0
DP 0.218880 0.0
DP 0.220320 2.0
DP 0.221760 0.0
DP 0.223200 3.0
DP 0.224640 3.0
DP 0.226080 5.0
DP 0.227520 5.0
DP 0.228960 0.0
DP 0.230400 2.0
DP 0.231840 0.0
DP 0.233280 0.0
DP 0.234720 0.0
DP 0.236160 5.0
DP 0.237600 1.0
DP 0.239040 0.0
DP 0.240480 0.0
DP 0.241920 2.0
DP 0.243360 2.0
DP 0.244800 0.0
DP 0.246240 5.0
DP 0.247680 0.0
DP 0.249120 0.0
DP 0.250560 9.0
DP 0.252000 0.0
DP 0.253440 3.0
DP 0.254880 0.0
DP 0.256320 0.0
DP 0.257760 0.0
DP 0.259200 0.0
DP 0.260640 3.0
DP 0.262080 2.0
DP 0.263520 3.0
DP 0.264960 0.0
DP 0.266400 0.0
DP 0.267840 3.0
DP 0.269280 0.0
DP 0.270720 0.0
DP 0.272160 0.0
DP 0.273600 0.0
DP 0.275040 0.0
DP 0.276480 8.0
DP 0.277920 0.0
DP 0.279360 2.0
DP 0.280800 4.0
DP 0.282240 0.0
DP 0.283680 3.0
DP 0.285120 1.0
DP 0.286560 3.0
DP 0.288000 0.0
DP 0.289440 0.0
DP 0.290880 0.0
DP 0.292320 3.0
DP 0.293760 0.0
DP 0.295200 2.0
DP 0.296640 1.0
DP 0.298080 0.0
DP 0.299520 3.0
DP 0.300960 2.0
DP 0.302400 2.0
DP 0.303840 6.0
DP 0.305280 0.0
DP 0.306720 0.0
DP 0.308160 0.0
DP 0.309600 0.0
DP 0.311040 1.0
DP 0.312480 3.0
DP 0.313920 0.0
DP 0.315360 0.0
DP 0.316800 4.0
DP 0.318240 0.0
DP 0.319680 5.0
DP 0.321120 2.0
DP 0.322560 0.0
DP 0.324000 0.0
DP 0.325440 4.0
DP 0.326880 0.0
DP 0.328320 0.0
DP 0.329760 0.0
DP 0.331200 6.0
DP 0.332640 0.0
DP 0.334080 1.0
DP 0.335520 4.0
DP 0.336960 3.0
DP 0.338400 0.0
DP 0.339840 0.0
DP 0.341280 2.0
DP 0.342720 0.0
DP 0.344160 0.0
DP 0.345600 2.0
DP 0.347040 0.0
DP 0.348480 0.0
DP 0.349920 3.0
DP 0.351360 0.0
DP 0.352800 0.0
DP 0.354240 0.0
DP 0.355680 0.0
DP 0.357120 0.0
DP 0.358560 0.0
DP 0.360000 0.0
DP 0.361440 0.0
DP 0.362880 0.0
DP 0.364320 0.0
DP 0.365760 6.0
DP 0.367200 0.0
DP 0.368640 2.0
DP 0.370080 0.0
DP 0.371520 3.0
DP 0.372960 0.0
DP 0.374400 0.0
DP 0.375840 3.0
DP 0.377280 0.0
DP 0.378720 0.0
DP 0.380160 0.0
DP 0.381600 0.0
DP 0.383040 0.0
DP 0.384480 2.0
DP 0.385920 0.0
DP 0.387360 1.0
DP 0.388800 0.0
DP 0.390240 3.0
DP 0.391680 0.0
DP 0.393120 3.0
DP 0.394560 0.0
DP 0.396000 3.0
DP 0.397440 0.0
DP 0.398880 0.0
DP 0.400320 0.0
DP 0.401760 1.0
DP 0.403200 0.0
DP 0.404640 3.0
DP 0.406080 0.0
DP 0.407520 3.0
DP 0.408960 0.0
DP 0.410400 1.0
DP 0.411840 2.0
DP 0.413280 0.0
DP 0.414720 3.0
DP 0.416160 6.0
DP 0.417600 0.0
DP 0.419040 3.0
DP 0.420480 0.0
DP 0.421920 0.0
DP 0.423360 0.0
DP 0.424800 0.0
DP 0.426240 0.0
DP 0.427680 1.0
DP 0.429120 0.0
DP 0.430560 1.0
DP 0.432000 2.0
DP 0.433440 3.0
DP 0.434880 0.0
DP 0.436320 0.0
DP 0.437760 0.0
DP 0.439200 3.0
DP 0.440640 0.0
DP 0.442080 1.0
DP 0.443520 0.0
DP 0.444960 0.0
DP 0.446400 0.0
DP 0.447840 0.0
DP 0.449280 0.0
DP 0.450720 2.0
DP 0.452160 0.0
DP 0.453600 1.0
DP 0.455040 0.0
DP 0.456480 0.0
DP 0.457920 2.0
DP 0.459360 2.0
DP 0.460800 0.0
DP 0.462240 1.0
DP 0.463680 5.0
DP 0.465120 0.0
DP 0.466560 0.0
DP 0.468000 0.0
DP 0.469440 0.0
DP 0.470880 0.0
DP 0.472320 1.0
DP 0.473760 2.0
DP 0.475200 0.0
DP 0.476640 0.0
DP 0.478080 0.0
DP 0.479520 0.0
DP 0.480960 0.0
DP 0.482400 3.0
DP 0.483840 0.0
DP 0.485280 0.0
DP 0.486720 5.0
DP 0.488160 0.0
DP 0.489600 4.0
DP 0.491040 0.0
DP 0.492480 0.0
DP 0.493920 6.0
DP 0.495360 0.0
DP 0.496800 0.0
DP 0.498240 2.0
DP 0.499680 0.0
DP 0.501120 0.0
DP 0.502560 0.0
DP 0.504000 1.0
DP 0.505440 0.0
DP 0.506880 3.0
DP 0.508320 0.0
DP 0.509760 1.0
DP 0.511200 0.0
DP 0.512640 1.0
DP 0.514080 0.0
DP 0.515520 0.0
DP 0.516960 2.0
DP 0.518400 0.0
DP 0.519840 0.0
DP 0.521280 8.0
DP 0.522720 1.0
DP 0.524160 3.0
DP 0.525600 0.0
DP 0.527040 5.0
DP 0.528480 3.0
DP 0.529920 1.0
DP 0.531360 0.0
DP 0.532800 0.0
DP 0.534240 0.0
DP 0.535680 0.0
DP 0.537120 3.0
DP 0.538560 0.0
DP 0.540000 0.0
DP 0.541440 0.0
DP 0.542880 3.0
DP 0.544320 1.0
DP 0.545760 2.0
DP 0.547200 0.0
DP 0.548640 0.0
DP 0.550080 0.0
DP 0.551520 0.0
DP 0.552960 1.0
DP 0.554400 0.0
DP 0.555840 0.0
DP 0.557280 1.0
DP 0.558720 3.0
DP 0.560160 0.0
DP 0.561600 0.0
DP 0.563040 4.0
DP 0.564480 0.0
DP 0.565920 0.0
DP 0.567360 4.0
DP 0.568800 0.0
DP 0.570240 0.0
DP 0.571680 2.0
DP 0.573120 0.0
DP 0.574560 5.0
DP 0.576000 3.0
DP 0.577440 3.0
DP 0.578880 4.0
DP 0.580320 0.0
DP 0.581760 0.0
DP 0.583200 0.0
DP 0.584640 0.0
DP 0.586080 0.0
DP 0.587520 1.0
DP 0.588960 0.0
DP 0.590400 5.0
DP 0.591840 1.0
DP 0.593280 0.0
DP 0.594720 0.0
DP 0.596160 0.0
DP 0.597600 0.0
DP 0.599040 1.0
DP 0.600480 0.0
DP 0.601920 5.0
DP 0.603360 5.0
DP 0.604800 2.0
DP 0.606240 1.0
DP 0.607680 3.0
DP 0.609120 1.0
DP 0.610560 1.0
DP 0.612000 0.0
DP 0.613440 0.0
DP 0.614880 0.0
DP 0.616320 0.0
DP 0.617760 3.0
DP 0.619200 0.0
DP 0.620640 0.0
DP 0.622080 0.0
DP 0.623520 0.0
DP 0.624960 1.0
DP 0.626400 0.0
DP 0.627840 2.0
DP 0.629280 0.0
DP 0.630720 0.0
DP 0.632160 3.0
DP 0.633600 0.0
DP 0.635040 0.0
DP 0.636480 0.0
DP 0.637920 0.0
DP 0.639360 0.0
DP 0.640800 0.0
DP 0.642240 2.0
DP 0.643680 0.0
DP 0.645120 1.0
DP 0.646560 1.0
DP 0.648000 4.0
DP 0.649440 0.0
DP 0.650880 0.0
DP 0.652320 0.0
DP 0.653760 1.0
DP 0.655200 0.0
DP 0.656640 4.0
DP 0.658080 2.0
DP 0.659520 0.0
DP 0.660960 0.0
DP 0.662400 0.0
DP 0.663840 0.0
DP 0.665280 0.0
DP 0.666720 0.0
DP 0.668160 0.0
DP 0.669600 1.0
DP 0.671040 3.0
DP 0.672480 5.0
DP 0.673920 0.0
DP 0.675360 1.0
DP 0.676800 2.0
DP 0.678240 0.0
DP 0.679680 0.0
DP 0.681120 4.0
DP 0.682560 0.0
DP 0.684000 0.0
DP 0.685440 0.0
DP 0.686880 3.0
DP 0.688320 0.0
DP 0.689760 0.0
DP 0.691200 0.0
DP 0.692640 0.0
DP 0.694080 0.0
DP 0.695520 0.0
DP 0.696960 0.0
DP 0.698400 0.0
DP 0.699840 5.0
DP 0.701280 3.0
DP 0.702720 6.0
DP 0.704160 0.0
DP 0.705600 0.0
DP 0.707040 0.0
DP 0.708480 0.0
DP 0.709920 0.0
DP 0.711360 4.0
DP 0.712800 0.0
DP 0.714240 0.0
DP 0.715680 0.0
DP 0.717120 1.0
DP 0.718560 2.0
DP 0.720000 0.0
DP 0.721440 0.0
DP 0.722880 0.0
DP 0.724320 3.0
DP 0.725760 0.0
DP 0.727200 1.0
DP 0.728640 0.0
DP 0.730080 0.0
DP 0.731520 0.0
DP 0.732960 1.0
DP 0.734400 3.0
DP 0.735840 0.0
DP 0.737280 3.0
DP 0.738720 0.0
DP 0.740160 0.0
DP 0.741600 0.0
DP 0.743040 1.0
DP 0.744480 0.0
DP 0.745920 1.0
DP 0.747360 5.0
DP 0.748800 4.0
DP 0.750240 0.0
DP 0.751680 0.0
DP 0.753120 0.0
DP 0.754560 0.0
DP 0.756000 1.0
DP 0.757440 0.0
DP 0.758880 0.0
DP 0.760320 0.0
DP 0.761760 0.0
DP 0.763200 0.0
DP 0.764640 0.0
DP 0.766080 1.0
DP 0.767520 0.0
DP 0.768960 4.0
DP 0.770400 0.0
DP 0.771840 1.0
DP 0.773280 1.0
DP 0.774720 4.0
DP 0.776160 0.0
DP 0.777600 0.0
DP 0.779040 2.0
DP 0.780480 0.0
DP 0.781920 0.0
DP 0.783360 0.0
DP 0.784800 0.0
DP 0.786240 0.0
DP 0.787680 0.0
DP 0.789120 0.0
DP 0.790560 3.0
DP 0.792000 0.0
DP 0.793440 1.0
DP 0.794880 0.0
DP 0.796320 0.0
DP 0.797760 0.0
DP 0.799200 1.0
DP 0.800640 0.0
DP 0.802080 1.0
DP 0.803520 0.0
DP 0.804960 0.0
DP 0.806400 0.0
DP 0.807840 0.0
DP 0.809280 0.0
DP 0.810720 2.0
DP 0.812160 0.0
DP 0.813600 0.0
DP 0.815040 0.0
DP 0.816480 0.0
DP 0.817920 0.0
DP 0.819360 0.0
DP 0.820800 0.0
DP 0.822240 4.0
DP 0.823680 1.0
DP 0.825120 0.0
DP 0.826560 0.0
DP 0.828000 0.0
DP 0.829440 4.0
DP 0.830880 2.0
DP 0.832320 1.0
DP 0.833760 0.0
DP 0.835200 0.0
DP 0.836640 0.0
DP 0.838080 1.0
DP 0.839520 0.0
DP 0.840960 0.0
DP 0.842400 0.0
DP 0.843840 4.0
DP 0.845280 0.0
DP 0.846720 3.0
DP 0.848160 3.0
DP 0.849600 0.0
DP 0.851040 1.0
DP 0.852480 0.0
DP 0.853920 0.0
DP 0.855360 0.0
DP 0.856800 0.0
DP 0.858240 3.0
DP 0.859680 0.0
DP 0.861120 0.0
DP 0.862560 0.0
DP 0.864000 0.0
DP 0.865440 3.0
DP 0.866880 4.0
DP 0.868320 0.0
DP 0.869760 0.0
DP 0.871200 6.0
DP 0.872640 0.0
DP 0.874080 2.0
DP 0.875520 0.0
DP 0.876960 0.0
DP 0.878400 2.0
DP 0.879840 0.0
DP 0.881280 1.0
DP 0.882720 0.0
DP 0.884160 0.0
DP 0.885600 0.0
DP 0.887040 4.0
DP 0.888480 0.0
DP 0.889920 3.0
DP 0.891360 0.0
DP 0.892800 0.0
DP 0.894240 3.0
DP 0.895680 0.0
DP 0.897120 2.0
DP 0.898560 0.0
DP 0.900000 0.0
DP 0.901440 0.0
DP 0.902880 2.0
DP 0.904320 3.0
DP 0.905760 1.0
DP 0.907200 0.0
DP 0.908640 0.0
DP 0.910080 0.0
DP 0.911520 5.0
DP 0.912960 0.0
DP 0.914400 2.0
DP 0.915840 0.0
DP 0.917280 2.0
DP 0.918720 0.0
DP 0.920160 0.0
DP 0.921600 0.0
DP 0.923040 0.0
DP 0.924480 2.0
DP 0.925920 2.0
DP 0.927360 0.0
DP 0.928800 0.0
DP 0.930240 3.0
DP 0.931680 1.0
DP 0.933120 0.0
DP 0.934560 0.0
DP 0.936000 0.0
DP 0.937440 0.0
DP 0.938880 0.0
DP 0.940320 4.0
DP 0.941760 0.0
DP 0.943200 1.0
DP 0.944640 2.0
DP 0.946080 5.0
DP 0.947520 0.0
DP 0.948960 4.0
DP 0.950400 0.0
DP 0.951840 1.0
DP 0.953280 2.0
DP 0.954720 0.0
DP 0.956160 0.0
DP 0.957600 0.0
DP 0.959040 0.0
DP 0.960480 0.0
DP 0.961920 0.0
DP 0.963360 0.0
DP 0.964800 0.0
DP 0.966240 3.0
DP 0.967680 0.0
DP 0.969120 0.0
DP 0.970560 3.0
DP 0.972000 0.0
DP 0.973440 0.0
DP 0.974880 0.0
DP 0.976320 0.0
DP 0.977760 0.0
DP 0.979200 2.0
DP 0.980640 0.0
DP 0.982080 0.0
DP 0.983520 0.0
DP 0.984960 0.0
DP 0.986400 0.0
DP 0.987840 0.0
DP 0.989280 0.0
DP 0.990720 0.0
DP 0.992160 0.0
DP 0.993600 0.0
DP 0.995040 1.0
DP 0.996480 0.0
DP 0.997920 0.0
DP 0.999360 1.0
DP 1.000800 0.0
DP 1.002240 0.0
DP 1.003680 4.0
DP 1.005120 4.0
DP 1.006560 0.0
DP 1.008000 0.0
DP 1.009440 0.0
DP 1.010880 0.0
DP 1.012320 1.0
DP 1.013760 3.0
DP 1.015200 0.0
DP 1.016640 0.0
DP 1.018080 2.0
DP 1.019520 0.0
DP 1.020960 4.0
DP 1.022400 0.0
DP 1.023840 0.0
DP 1.025280 0.0
DP 1.026720 3.0
DP 1.028160 0.0
DP 1.029600 0.0
DP 1.031040 0.0
DP 1.032480 0.0
DP 1.033920 0.0
DP 1.035360 0.0
DP 1.036800 3.0
DP 1.038240 0.0
DP 1.039680 0.0
DP 1.041120 4.0
DP 1.042560 0.0
DP 1.044000 0.0
DP 1.045440 4.0
DP 1.046880 2.0
DP 1.048320 4.0
DP 1.049760 0.0
DP 1.051200 0.0
DP 1.052640 0.0
DP 1.054080 1.0
DP 1.055520 0.0
DP 1.056960 0.0
DP 1.058400 0.0
DP 1.059840 1.0
DP 1.061280 0.0
DP 1.062720 0.0
DP 1.064160 0.0
DP 1.065600 0.0
DP 1.067040 5.0
DP 1.068480 2.0
DP 1.069920 0.0
DP 1.071360 4.0
DP 1.072800 0.0
DP 1.074240 7.0
DP 1.075680 0.0
DP 1.077120 7.0
DP 1.078560 0.0
DP 1.080000 0.0
DP 1.081440 0.0
DP 1.082880 0.0
DP 1.084320 5.0
DP 1.085760 0.0
DP 1.087200 1.0
DP 1.088640 0.0
DP 1.090080 0.0
DP 1.091520 0.0
DP 1.092960 4.0
DP 1.094400 1.0
DP 1.095840 0.0
DP 1.097280 1.0
DP 1.098720 2.0
DP 1.100160 0.0
DP 1.101600 0.0
DP 1.103040 0.0
DP 1.104480 0.0
DP 1.105920 0.0
DP 1.107360 0.0
DP 1.108800 1.0
DP 1.110240 0.0
DP 1.111680 0.0
DP 1.113120 0.0
DP 1.114560 1.0
DP 1.116000 2.0
DP 1.117440 0.0
DP 1.118880 0.0
DP 1.120320 1.0
DP 1.121760 0.0
DP 1.123200 5.0
DP 1.124640 0.0
DP 1.126080 0.0
DP 1.127520 1.0
DP 1.128960 4.0
DP 1.130400 0.0
DP 1.131840 0.0
DP 1.133280 0.0
DP 1.134720 0.0
DP 1.136160 0.0
DP 1.137600 0.0
DP 1.139040 1.0
DP 1.140480 0.0
DP 1.141920 0.0
DP 1.143360 4.0
DP 1.144800 2.0
DP 1.146240 2.0
DP 1.147680 0.0
DP 1.149120 1.0
DP 1.150560 0.0
DP 1.152000 0.0
DP 1.153440 0.0
EN
