datetime,timestamp[s],bgo_z1[keV],bgo_z0[keV],bgo_x1[keV],bgo_x0[keV],bgo_y1[keV],bgo_y0[keV],latX,lonX,latZ,lonZ
1970-01-01 00:00:00.051589156,0.051589156,0.0,156.25447,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.051639755,0.051639755,0.0,120.251396,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.051928621,0.051928621,0.0,0.0,0.0,0.0,342.3877,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.052355519,0.052355519,0.0,0.0,476.5222,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.052661810,0.05266181,0.0,0.0,0.0,0.0,0.0,223.64558,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.053058792,0.053058792,0.0,92.298,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.053573372,0.053573372,120.45404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.053610846,0.053610846,136.30588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.053845947,0.053845947,311.74722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.054282018,0.054282018,0.0,0.0,0.0,0.0,235.34077,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.054549319,0.054549319,110.15623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.054681130,0.05468113,0.0,0.0,0.0,0.0,582.16974,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.054929797,0.054929797,0.0,0.0,0.0,0.0,0.0,123.815895,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.055290986,0.055290986,0.0,352.64752,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.055674434,0.055674434,104.42292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.056109927,0.056109927,306.42856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.056545297,0.056545297,0.0,0.0,0.0,0.0,198.54614,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.056953503,0.056953503,0.0,1052.0015,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.057287498,0.057287498,80.68807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.057372644,0.057372644,0.0,0.0,0.0,0.0,0.0,760.7017,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.057392165,0.057392165,0.0,439.0894,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.057649975,0.057649975,0.0,0.0,188.12411,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.057681914,0.057681914,0.0,0.0,110.238884,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.057735433,0.057735433,0.0,84.90964,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.057735433,0.057735433,0.0,169.20728,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.058139901,0.058139901,0.0,0.0,0.0,0.0,0.0,262.5761,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.058373675,0.058373675,0.0,0.0,172.29478,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.058839813,0.058839813,0.0,0.0,0.0,93.586136,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059083003,0.059083003,630.95905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059311344,0.059311344,0.0,0.0,0.0,0.0,0.0,497.94467,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059470164,0.059470164,0.0,527.06146,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059504437,0.059504437,184.28183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059546183,0.059546183,0.0,91.227844,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059562226,0.059562226,0.0,0.0,0.0,318.30432,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059688201,0.059688201,0.0,238.86707,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.059702623,0.059702623,291.30356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.060304256,0.060304256,0.0,0.0,0.0,848.25964,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.060346924,0.060346924,0.0,0.0,0.0,0.0,0.0,126.05956,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.060362793,0.060362793,0.0,0.0,0.0,0.0,0.0,489.74445,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.060370036,0.060370036,0.0,252.8099,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.060945920,0.06094592,0.0,0.0,0.0,0.0,0.0,141.79903,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.061211277,0.061211277,131.82909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.061250987,0.061250987,395.18195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.061773964,0.061773964,0.0,0.0,136.68422,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.061846666,0.061846666,0.0,0.0,0.0,0.0,0.0,363.4568,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.061936243,0.061936243,0.0,0.0,0.0,0.0,0.0,1123.3938,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.062096708,0.062096708,0.0,0.0,0.0,0.0,0.0,155.66579,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.062261971,0.062261971,0.0,0.0,475.97888,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.062456176,0.062456176,0.0,327.69812,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.062765514,0.062765515,0.0,155.54433,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.062860727,0.062860727,0.0,0.0,0.0,0.0,0.0,117.50902,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.063122023,0.063122023,0.0,0.0,338.94324,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.063313620,0.06331362,274.7983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.063602061,0.063602061,0.0,0.0,0.0,0.0,0.0,198.68007,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.063703742,0.063703743,0.0,0.0,548.9324,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.063793464,0.063793465,90.884544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.063918319,0.063918319,0.0,0.0,0.0,0.0,0.0,513.57336,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.064109336,0.064109336,107.78198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.065366840,0.065366841,0.0,262.903,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.065387845,0.065387845,2050.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.065475496,0.065475497,0.0,0.0,0.0,0.0,0.0,133.33145,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.065616272,0.065616272,0.0,0.0,0.0,0.0,0.0,222.50717,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.065964434,0.065964434,213.44737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.066092961,0.066092961,0.0,0.0,0.0,0.0,253.54387,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.066295084,0.066295084,0.0,394.37314,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.066322846,0.066322846,0.0,250.5647,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.066528592,0.066528592,0.0,465.01895,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.066740162,0.066740162,600.58496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.066777992,0.066777993,0.0,0.0,253.527,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067040496,0.067040496,362.86426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067083199,0.0670832,151.10712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067120755,0.067120755,0.0,0.0,0.0,0.0,0.0,539.66534,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067385142,0.067385142,0.0,1096.0726,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067453305,0.067453305,87.437645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067708854,0.067708854,0.0,0.0,0.0,226.23828,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067734709,0.067734709,0.0,0.0,104.549614,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067764327,0.067764327,486.20105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067764673,0.067764673,0.0,254.25137,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067768625,0.067768625,0.0,0.0,0.0,629.10565,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067870013,0.067870013,938.97296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067873840,0.06787384,1157.1497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
1970-01-01 00:00:00.067998952,0.067998952,0.0,222.30528,0.0,0.0,0.0,0.0,0.0,0.0,-1.5707964,0.0
